professional_id,cluster,cluster_name
10830,1,Cluster 1 — Steady Providers
10831,1,Cluster 1 — Steady Providers
10833,1,Cluster 1 — Steady Providers
10834,1,Cluster 1 — Steady Providers
10835,1,Cluster 1 — Steady Providers
10837,1,Cluster 1 — Steady Providers
10838,1,Cluster 1 — Steady Providers
10839,2,Cluster 2 — Low/Inactive Providers
10840,1,Cluster 1 — Steady Providers
10841,1,Cluster 1 — Steady Providers
10843,1,Cluster 1 — Steady Providers
10846,1,Cluster 1 — Steady Providers
10847,0,Cluster 0 — High Performers
10849,1,Cluster 1 — Steady Providers
10850,1,Cluster 1 — Steady Providers
10853,2,Cluster 2 — Low/Inactive Providers
10854,1,Cluster 1 — Steady Providers
10855,1,Cluster 1 — Steady Providers
10856,1,Cluster 1 — Steady Providers
10858,1,Cluster 1 — Steady Providers
10859,1,Cluster 1 — Steady Providers
10861,2,Cluster 2 — Low/Inactive Providers
10864,1,Cluster 1 — Steady Providers
10865,1,Cluster 1 — Steady Providers
10866,2,Cluster 2 — Low/Inactive Providers
10870,1,Cluster 1 — Steady Providers
10871,1,Cluster 1 — Steady Providers
10872,1,Cluster 1 — Steady Providers
10874,2,Cluster 2 — Low/Inactive Providers
10875,1,Cluster 1 — Steady Providers
10876,1,Cluster 1 — Steady Providers
10877,1,Cluster 1 — Steady Providers
10879,1,Cluster 1 — Steady Providers
10880,1,Cluster 1 — Steady Providers
10883,1,Cluster 1 — Steady Providers
10884,1,Cluster 1 — Steady Providers
10889,2,Cluster 2 — Low/Inactive Providers
10890,1,Cluster 1 — Steady Providers
10892,1,Cluster 1 — Steady Providers
10893,2,Cluster 2 — Low/Inactive Providers
10894,1,Cluster 1 — Steady Providers
10895,1,Cluster 1 — Steady Providers
10898,1,Cluster 1 — Steady Providers
10899,1,Cluster 1 — Steady Providers
10900,1,Cluster 1 — Steady Providers
10901,1,Cluster 1 — Steady Providers
10903,2,Cluster 2 — Low/Inactive Providers
10904,1,Cluster 1 — Steady Providers
10905,1,Cluster 1 — Steady Providers
10906,0,Cluster 0 — High Performers
10909,1,Cluster 1 — Steady Providers
10911,2,Cluster 2 — Low/Inactive Providers
10912,2,Cluster 2 — Low/Inactive Providers
10915,0,Cluster 0 — High Performers
10916,1,Cluster 1 — Steady Providers
10917,1,Cluster 1 — Steady Providers
10919,1,Cluster 1 — Steady Providers
10921,1,Cluster 1 — Steady Providers
10922,2,Cluster 2 — Low/Inactive Providers
10927,1,Cluster 1 — Steady Providers
10928,1,Cluster 1 — Steady Providers
10929,1,Cluster 1 — Steady Providers
10931,1,Cluster 1 — Steady Providers
10933,1,Cluster 1 — Steady Providers
10934,1,Cluster 1 — Steady Providers
10935,1,Cluster 1 — Steady Providers
10938,1,Cluster 1 — Steady Providers
10940,1,Cluster 1 — Steady Providers
10941,1,Cluster 1 — Steady Providers
10942,1,Cluster 1 — Steady Providers
10945,1,Cluster 1 — Steady Providers
10946,1,Cluster 1 — Steady Providers
10947,1,Cluster 1 — Steady Providers
10949,1,Cluster 1 — Steady Providers
10950,1,Cluster 1 — Steady Providers
10952,2,Cluster 2 — Low/Inactive Providers
10953,1,Cluster 1 — Steady Providers
10954,1,Cluster 1 — Steady Providers
10955,1,Cluster 1 — Steady Providers
10956,1,Cluster 1 — Steady Providers
10957,1,Cluster 1 — Steady Providers
10959,1,Cluster 1 — Steady Providers
10960,1,Cluster 1 — Steady Providers
10961,1,Cluster 1 — Steady Providers
10962,1,Cluster 1 — Steady Providers
10963,1,Cluster 1 — Steady Providers
10964,1,Cluster 1 — Steady Providers
10965,0,Cluster 0 — High Performers
10966,2,Cluster 2 — Low/Inactive Providers
10967,1,Cluster 1 — Steady Providers
10968,1,Cluster 1 — Steady Providers
10969,1,Cluster 1 — Steady Providers
10971,2,Cluster 2 — Low/Inactive Providers
10972,1,Cluster 1 — Steady Providers
10974,1,Cluster 1 — Steady Providers
10975,1,Cluster 1 — Steady Providers
10976,1,Cluster 1 — Steady Providers
10979,1,Cluster 1 — Steady Providers
10980,2,Cluster 2 — Low/Inactive Providers
10981,2,Cluster 2 — Low/Inactive Providers
10982,1,Cluster 1 — Steady Providers
10983,1,Cluster 1 — Steady Providers
10984,1,Cluster 1 — Steady Providers
10987,2,Cluster 2 — Low/Inactive Providers
10988,1,Cluster 1 — Steady Providers
10989,1,Cluster 1 — Steady Providers
10993,1,Cluster 1 — Steady Providers
10994,2,Cluster 2 — Low/Inactive Providers
10996,1,Cluster 1 — Steady Providers
10997,2,Cluster 2 — Low/Inactive Providers
10998,1,Cluster 1 — Steady Providers
11000,1,Cluster 1 — Steady Providers
11001,1,Cluster 1 — Steady Providers
11002,2,Cluster 2 — Low/Inactive Providers
11003,0,Cluster 0 — High Performers
11005,1,Cluster 1 — Steady Providers
11006,1,Cluster 1 — Steady Providers
11009,1,Cluster 1 — Steady Providers
11010,1,Cluster 1 — Steady Providers
11011,1,Cluster 1 — Steady Providers
11012,1,Cluster 1 — Steady Providers
11014,1,Cluster 1 — Steady Providers
11015,1,Cluster 1 — Steady Providers
11017,1,Cluster 1 — Steady Providers
11018,1,Cluster 1 — Steady Providers
11019,1,Cluster 1 — Steady Providers
11020,1,Cluster 1 — Steady Providers
11021,1,Cluster 1 — Steady Providers
11023,2,Cluster 2 — Low/Inactive Providers
11024,2,Cluster 2 — Low/Inactive Providers
11027,1,Cluster 1 — Steady Providers
11029,1,Cluster 1 — Steady Providers
11031,1,Cluster 1 — Steady Providers
11032,1,Cluster 1 — Steady Providers
11033,1,Cluster 1 — Steady Providers
11034,1,Cluster 1 — Steady Providers
11035,0,Cluster 0 — High Performers
11036,1,Cluster 1 — Steady Providers
11037,1,Cluster 1 — Steady Providers
11038,1,Cluster 1 — Steady Providers
11039,1,Cluster 1 — Steady Providers
11040,1,Cluster 1 — Steady Providers
11043,1,Cluster 1 — Steady Providers
11044,1,Cluster 1 — Steady Providers
11045,0,Cluster 0 — High Performers
11049,1,Cluster 1 — Steady Providers
11050,1,Cluster 1 — Steady Providers
11051,1,Cluster 1 — Steady Providers
11053,1,Cluster 1 — Steady Providers
11055,1,Cluster 1 — Steady Providers
11056,2,Cluster 2 — Low/Inactive Providers
11057,1,Cluster 1 — Steady Providers
11058,1,Cluster 1 — Steady Providers
11060,1,Cluster 1 — Steady Providers
11064,1,Cluster 1 — Steady Providers
11067,1,Cluster 1 — Steady Providers
11069,1,Cluster 1 — Steady Providers
11070,1,Cluster 1 — Steady Providers
11071,1,Cluster 1 — Steady Providers
11072,2,Cluster 2 — Low/Inactive Providers
11076,1,Cluster 1 — Steady Providers
11077,1,Cluster 1 — Steady Providers
11079,1,Cluster 1 — Steady Providers
11080,1,Cluster 1 — Steady Providers
11082,1,Cluster 1 — Steady Providers
11084,1,Cluster 1 — Steady Providers
11085,1,Cluster 1 — Steady Providers
11086,2,Cluster 2 — Low/Inactive Providers
11087,1,Cluster 1 — Steady Providers
11088,1,Cluster 1 — Steady Providers
11089,1,Cluster 1 — Steady Providers
11090,1,Cluster 1 — Steady Providers
11092,2,Cluster 2 — Low/Inactive Providers
11094,1,Cluster 1 — Steady Providers
11095,2,Cluster 2 — Low/Inactive Providers
11096,2,Cluster 2 — Low/Inactive Providers
11097,2,Cluster 2 — Low/Inactive Providers
11098,1,Cluster 1 — Steady Providers
11099,1,Cluster 1 — Steady Providers
11103,2,Cluster 2 — Low/Inactive Providers
11104,1,Cluster 1 — Steady Providers
11105,1,Cluster 1 — Steady Providers
11106,1,Cluster 1 — Steady Providers
11107,2,Cluster 2 — Low/Inactive Providers
11108,1,Cluster 1 — Steady Providers
11110,1,Cluster 1 — Steady Providers
11112,1,Cluster 1 — Steady Providers
11113,1,Cluster 1 — Steady Providers
11114,2,Cluster 2 — Low/Inactive Providers
11115,1,Cluster 1 — Steady Providers
11117,1,Cluster 1 — Steady Providers
11119,1,Cluster 1 — Steady Providers
11120,1,Cluster 1 — Steady Providers
11122,1,Cluster 1 — Steady Providers
11123,1,Cluster 1 — Steady Providers
11125,1,Cluster 1 — Steady Providers
11126,1,Cluster 1 — Steady Providers
11127,0,Cluster 0 — High Performers
11128,1,Cluster 1 — Steady Providers
11129,2,Cluster 2 — Low/Inactive Providers
11132,1,Cluster 1 — Steady Providers
11133,1,Cluster 1 — Steady Providers
11134,1,Cluster 1 — Steady Providers
11135,1,Cluster 1 — Steady Providers
11136,1,Cluster 1 — Steady Providers
11138,1,Cluster 1 — Steady Providers
11139,1,Cluster 1 — Steady Providers
11140,1,Cluster 1 — Steady Providers
11141,1,Cluster 1 — Steady Providers
11144,1,Cluster 1 — Steady Providers
11146,1,Cluster 1 — Steady Providers
11147,1,Cluster 1 — Steady Providers
11148,1,Cluster 1 — Steady Providers
11149,1,Cluster 1 — Steady Providers
11151,1,Cluster 1 — Steady Providers
11152,1,Cluster 1 — Steady Providers
11153,1,Cluster 1 — Steady Providers
11154,1,Cluster 1 — Steady Providers
11155,2,Cluster 2 — Low/Inactive Providers
11156,1,Cluster 1 — Steady Providers
11157,1,Cluster 1 — Steady Providers
11158,1,Cluster 1 — Steady Providers
11159,1,Cluster 1 — Steady Providers
11161,1,Cluster 1 — Steady Providers
11164,1,Cluster 1 — Steady Providers
11166,1,Cluster 1 — Steady Providers
11168,1,Cluster 1 — Steady Providers
11170,1,Cluster 1 — Steady Providers
11174,1,Cluster 1 — Steady Providers
11176,1,Cluster 1 — Steady Providers
11180,1,Cluster 1 — Steady Providers
11181,1,Cluster 1 — Steady Providers
11182,2,Cluster 2 — Low/Inactive Providers
11183,1,Cluster 1 — Steady Providers
11184,1,Cluster 1 — Steady Providers
11187,1,Cluster 1 — Steady Providers
11188,1,Cluster 1 — Steady Providers
11189,1,Cluster 1 — Steady Providers
11190,1,Cluster 1 — Steady Providers
11191,1,Cluster 1 — Steady Providers
11192,1,Cluster 1 — Steady Providers
11193,1,Cluster 1 — Steady Providers
11194,1,Cluster 1 — Steady Providers
11195,1,Cluster 1 — Steady Providers
11196,1,Cluster 1 — Steady Providers
11199,1,Cluster 1 — Steady Providers
11200,1,Cluster 1 — Steady Providers
11201,1,Cluster 1 — Steady Providers
11203,1,Cluster 1 — Steady Providers
11204,1,Cluster 1 — Steady Providers
11207,1,Cluster 1 — Steady Providers
11208,1,Cluster 1 — Steady Providers
11209,1,Cluster 1 — Steady Providers
11210,1,Cluster 1 — Steady Providers
11211,1,Cluster 1 — Steady Providers
11212,1,Cluster 1 — Steady Providers
11215,1,Cluster 1 — Steady Providers
11216,1,Cluster 1 — Steady Providers
11217,1,Cluster 1 — Steady Providers
11218,1,Cluster 1 — Steady Providers
11219,1,Cluster 1 — Steady Providers
11222,1,Cluster 1 — Steady Providers
11224,1,Cluster 1 — Steady Providers
11227,1,Cluster 1 — Steady Providers
11229,1,Cluster 1 — Steady Providers
11230,1,Cluster 1 — Steady Providers
11231,2,Cluster 2 — Low/Inactive Providers
11234,1,Cluster 1 — Steady Providers
11235,1,Cluster 1 — Steady Providers
11236,1,Cluster 1 — Steady Providers
11238,2,Cluster 2 — Low/Inactive Providers
11239,1,Cluster 1 — Steady Providers
11244,2,Cluster 2 — Low/Inactive Providers
11246,1,Cluster 1 — Steady Providers
11247,1,Cluster 1 — Steady Providers
11249,2,Cluster 2 — Low/Inactive Providers
11250,1,Cluster 1 — Steady Providers
11251,1,Cluster 1 — Steady Providers
11252,1,Cluster 1 — Steady Providers
11254,1,Cluster 1 — Steady Providers
11256,1,Cluster 1 — Steady Providers
11257,1,Cluster 1 — Steady Providers
11259,1,Cluster 1 — Steady Providers
11260,1,Cluster 1 — Steady Providers
11262,1,Cluster 1 — Steady Providers
11263,1,Cluster 1 — Steady Providers
11264,1,Cluster 1 — Steady Providers
11266,1,Cluster 1 — Steady Providers
11268,1,Cluster 1 — Steady Providers
11272,1,Cluster 1 — Steady Providers
11275,1,Cluster 1 — Steady Providers
11277,1,Cluster 1 — Steady Providers
11278,2,Cluster 2 — Low/Inactive Providers
11279,1,Cluster 1 — Steady Providers
11280,2,Cluster 2 — Low/Inactive Providers
11281,1,Cluster 1 — Steady Providers
11282,1,Cluster 1 — Steady Providers
11284,1,Cluster 1 — Steady Providers
11285,1,Cluster 1 — Steady Providers
11286,1,Cluster 1 — Steady Providers
11289,1,Cluster 1 — Steady Providers
11290,1,Cluster 1 — Steady Providers
11291,1,Cluster 1 — Steady Providers
11292,1,Cluster 1 — Steady Providers
